"id","DTXSID","CAS","chemName"
1,"DTXSID4024721","464-49-3","D-Camphor"
2,"DTXSID8023632","87-69-4","L-Tartaric acid"
3,"DTXSID7027255","624-64-6","(2E)-2-Butene"
4,"DTXSID0027983","34590-94-8","Dipropylene glycol monomethyl ether"
5,"DTXSID4020080","1336-21-6","Ammonium hydroxide"
6,"DTXSID1020778","5989-27-5","D-Limonene"
7,"DTXSID0027224","590-18-1","2-Butene, (2Z)-"
8,"DTXSID2021317","630-20-6","1,1,1,2-Tetrachloroethane"
9,"DTXSID1021324","811-97-2","1,1,1,2-Tetrafluoroethane"
10,"DTXSID0021381","71-55-6","1,1,1-Trichloroethane"
11,"DTXSID5027148","354-58-5","1,1,1-Trichloro-2,2,2-trifluoroethane"
12,"DTXSID7021318","79-34-5","1,1,2,2-Tetrachloroethane"
13,"DTXSID6021377","76-13-1","1,1,2-Trichloro-1,2,2-trifluoroethane"
14,"DTXSID5021380","79-00-5","1,1,2-Trichloroethane"
15,"DTXSID8025468","78-78-4","2-Methylbutane"
16,"DTXSID1020437","75-34-3","1,1-Dichloroethane"
17,"DTXSID8021438","75-35-4","1,1-Dichloroethylene"
18,"DTXSID9027150","374-07-2","1,1-Dichlorotetrafluoroethane"
19,"DTXSID0024050","75-37-6","1,1-Difluoroethane"
20,"DTXSID3021439","75-38-7","Vinylidene fluoride"
21,"DTXSID7027178","534-15-6","1,1-Dimethoxyethane"
22,"DTXSID1026401","75-28-5","Isobutane"
23,"DTXSID6026119","527-53-7","1,2,3,5-Tetramethylbenzene"
24,"DTXSID2026446","77-90-7","Acetyl tributyl citrate"
25,"DTXSID3020332","77-92-9","Citric acid"
26,"DTXSID9020663","56-81-5","Glycerol"
27,"DTXSID9021390","96-18-4","1,2,3-Trichloropropane"
28,"DTXSID1029124","95-93-2","1,2,4,5-Tetramethylbenzene"
29,"DTXSID0021965","120-82-1","1,2,4-Trichlorobenzene"
30,"DTXSID6021402","95-63-6","1,2,4-Trimethylbenzene"
31,"DTXSID7021780","84-66-2","Diethyl phthalate"
32,"DTXSID6020438","107-06-2","1,2-Dichloroethane"
33,"DTXSID5027225","590-19-2","1,2-Butadiene"
34,"DTXSID3020415","106-93-4","1,2-Dibromoethane"
35,"DTXSID8026434","76-14-2","1,2-Dichloro-1,1,2,2-tetrafluoroethane"
36,"DTXSID6020430","95-50-1","1,2-Dichlorobenzene"
37,"DTXSID8024991","540-59-0","1,2-Dichloroethylene"
38,"DTXSID0020448","78-87-5","1,2-Dichloropropane"
39,"DTXSID0021206","57-55-6","1,2-Propylene glycol"
40,"DTXSID0025286","110-71-4","Ethylene glycol dimethyl ether"
41,"DTXSID7025508","1077-28-7","(+-)-Lipoic acid"
42,"DTXSID0020600","75-21-8","Ethylene oxide"
43,"DTXSID8020597","107-21-1","Ethylene glycol"
44,"DTXSID1029178","463-49-0","1,2-Propadiene"
45,"DTXSID2026789","108-32-7","Propylene carbonate"
46,"DTXSID8027373","1222-05-5","Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-"
47,"DTXSID8026195","108-70-3","1,3,5-Trichlorobenzene"
